ID_RBD,DV_RBD,DS_NOM_ESTABLE,ID_REGION_ESTABLE,DS_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,DS_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,ID_TIPO_DEPENDENCIA,DS_TIPO_DEPENDENCIA,ID_RURALIDAD,DS_RURALIDAD, PRIMERA PRIORIDAD , SEGUNDA PRIORIDAD , TERCERA PRIORIDAD , NO PRIORIZADO EN VULNERABILIDAD , SIN INFORMACION ,TOTAL MATRICULA BÁSICA DIC 2020,IVE-SINAE BÁSICA 2021
9680,6,COMPLEJO EDUC.STA.RITA DE CASIA-ANEXO 1,13,Región Metropolitana de Santiago,131,Santiago,13112,La Pintana,3,Particular Subvencionado,0,Urbano, 223 , 7 , 3 , 5 , 1 , 239 ,97.48953975
9684,9,COLEGIO SAN GREGORIO DE LA SALLE,13,Región Metropolitana de Santiago,131,Santiago,13111,La Granja,3,Particular Subvencionado,0,Urbano, 532 , 18 , 48 , 92 , 2 , 692 ,86.41618497
9685,7,ESCUELA BASICA PARTIC ESTRELLA DE CHILE,13,Región Metropolitana de Santiago,131,Santiago,13111,La Granja,3,Particular Subvencionado,0,Urbano, 179 , 7 , 29 , 36 , 5 , 256 ,83.984375
9695,4,LICEO POLIVALENTE EUGENIO PEREIRA SALAS,13,Región Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,2,Municipal DAEM,0,Urbano, 123 , 12 , 19 , 11 , 19 , 184 ,83.69565217
9697,0,LICEO POLIVALENTE,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 98 , 5 , 11 , 6 , 3 , 123 ,92.68292683
9698,9,ESCUELA BASICA AVIADORES,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 215 , 4 , 22 , 32 , 24 , 297 ,81.14478114
9699,7,COLEGIO NACIONES UNIDAS,13,Región Metropolitana de Santiago,131,Santiago,13109,La Cisterna,2,Municipal DAEM,0,Urbano, 234 , 6 , 19 , 31 , 27 , 317 ,81.70347003
9700,4,COLEGIO PALESTINO,13,Región Metropolitana de Santiago,131,Santiago,13109,La Cisterna,2,Municipal DAEM,0,Urbano, 171 , 14 , 15 , 51 , 50 , 301 ,66.44518272
9701,2,LICEO POLIVALENTE OLOF PALME,13,Región Metropolitana de Santiago,131,Santiago,13109,La Cisterna,2,Municipal DAEM,0,Urbano, 209 , 14 , 16 , 52 , 38 , 329 ,72.6443769
9702,0,ESCUELA BASICA MARIO ARCE GATICA,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 161 , 2 , 5 , 9 , 3 , 180 ,93.33333333
9703,9,ESCUELA ESPERANZA JOVEN,13,Región Metropolitana de Santiago,131,Santiago,13109,La Cisterna,2,Municipal DAEM,0,Urbano, 180 , 13 , 25 , 35 , 22 , 275 ,79.27272727
9704,7,ESCUELA LO VALLEDOR,13,Región Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,2,Municipal DAEM,0,Urbano, 72 , 7 , 8 , 2 , 5 , 94 ,92.55319149
9705,5,ESCUELA BASICA SALOMON SACK,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 165 , 7 , 4 , 10 , 9 , 195 ,90.25641026
9706,3,ESCUELA BAS. OSCAR ENCALADA YOVANOVICH,13,Región Metropolitana de Santiago,131,Santiago,13109,La Cisterna,2,Municipal DAEM,0,Urbano, 187 , 14 , 19 , 46 , 18 , 284 ,77.46478873
9709,8,ESCUELA BLUE STAR COLLEGE,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 98 , 4 , 3 , 9 ,, 114 ,92.10526316
9710,1,ESCUELA BASICA SANTA ADRIANA,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 133 , 7 , 3 ,, 3 , 146 ,97.94520548
9713,6,COMPLEJO EDUCACIONAL FELIPE HERRERA LANE,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 130 , 6 , 7 , 14 , 8 , 165 ,86.66666667
9714,4,ESCUELA BASICA JOSE MARTI,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 289 , 15 , 21 , 12 , 5 , 342 ,95.02923977
9715,2,ESCUELA BASICA VILLA SANTA ELENA,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 192 , 9 , 2 , 9 , 9 , 221 ,91.85520362
9716,0,ESCUELA BASICA ACAPULCO,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 200 , 4 , 10 , 8 , 5 , 227 ,94.27312775
9717,9,ESCUELA CIUDAD DE LYON,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 187 , 10 , 9 , 9 , 16 , 231 ,89.17748918
9718,7,ESCUELA BASICA PAUL HARRIS,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 212 , 8 , 15 , 9 , 2 , 246 ,95.52845528
9719,5,ESCUELA BASICA,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 229 , 7 , 11 , 7 , 8 , 262 ,94.27480916
9720,9,COLEGIO HERNAN OLGUIN,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 615 , 24 , 30 , 34 , 38 , 741 ,90.28340081
9721,7,ESCUELA NEMESIO ANTUNEZ,13,Región Metropolitana de Santiago,131,Santiago,13105,El Bosque,2,Municipal DAEM,0,Urbano, 209 , 7 , 4 , 9 , 6 , 235 ,93.61702128
9726,8,LICEO TENIENTE FRANCISCO MERY AGUIRRE,13,Región Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,2,Municipal DAEM,0,Urbano, 101 , 11 , 5 , 17 , 5 , 139 ,84.17266187
